local_equipo,local_totalShots,local_shotsOnTarget,local_wonCorners,local_possessionPct,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_saves,local_blockedShots,visita_equipo,visita_totalShots,visita_shotsOnTarget,visita_wonCorners,visita_possessionPct,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_saves,visita_blockedShots,event_id,fecha,temporada
Sarmiento (Junín),10.0,5.0,3.0,40.0,13.0,3.0,0.0,5.0,2.0,1.0,Rosario Central,5.0,2.0,2.0,60.0,11.0,3.0,0.0,1.0,4.0,1.0,610201,2021-08-06 19:00:00,2021
Newell's Old Boys,19.0,6.0,7.0,67.3,16.0,2.0,0.0,1.0,2.0,4.0,Platense,13.0,2.0,2.0,32.7,13.0,2.0,0.0,1.0,5.0,5.0,610198,2021-08-06 21:15:00,2021
Banfield,25.0,5.0,7.0,52.2,10.0,2.0,1.0,0.0,5.0,3.0,Talleres (Córdoba),13.0,6.0,0.0,47.8,14.0,2.0,0.0,1.0,5.0,4.0,610203,2021-08-07 13:30:00,2021
Unión (Santa Fe),11.0,5.0,2.0,35.9,12.0,1.0,0.0,2.0,1.0,3.0,San Lorenzo,10.0,1.0,3.0,64.1,9.0,1.0,0.0,1.0,2.0,2.0,610202,2021-08-07 15:45:00,2021
Huracán,18.0,7.0,9.0,59.0,17.0,4.0,0.0,2.0,4.0,3.0,Lanús,11.0,5.0,6.0,41.0,22.0,3.0,0.0,3.0,8.0,4.0,610196,2021-08-07 18:00:00,2021
Godoy Cruz Antonio Tomba,19.0,4.0,9.0,43.0,12.0,0.0,0.0,5.0,4.0,3.0,River Plate,16.0,5.0,5.0,57.0,13.0,4.0,0.0,2.0,2.0,2.0,610200,2021-08-07 20:15:00,2021
Gimnasia La Plata,10.0,2.0,3.0,56.3,6.0,0.0,0.0,0.0,3.0,3.0,Atlético Tucumán,9.0,3.0,9.0,43.7,17.0,1.0,1.0,4.0,1.0,3.0,610192,2021-08-08 13:30:00,2021
Vélez Sarsfield,5.0,0.0,5.0,55.0,20.0,3.0,0.0,1.0,5.0,1.0,Colón (Santa Fe),18.0,6.0,14.0,45.0,18.0,4.0,0.0,0.0,0.0,6.0,610193,2021-08-08 15:45:00,2021
Boca Juniors,6.0,3.0,3.0,61.6,12.0,2.0,1.0,1.0,0.0,1.0,Argentinos Juniors,7.0,1.0,5.0,38.4,24.0,4.0,0.0,2.0,3.0,3.0,610191,2021-08-08 18:00:00,2021
Independiente,12.0,3.0,4.0,39.5,15.0,3.0,0.0,1.0,3.0,3.0,Racing Club,12.0,3.0,5.0,60.5,13.0,4.0,0.0,2.0,1.0,3.0,610199,2021-08-08 20:15:00,2021
Aldosivi,10.0,4.0,8.0,61.5,8.0,3.0,0.0,0.0,6.0,2.0,Defensa y Justicia,13.0,6.0,6.0,38.5,16.0,3.0,0.0,2.0,3.0,3.0,610194,2021-08-09 18:00:00,2021
Arsenal Sarandi,12.0,5.0,4.0,49.3,10.0,0.0,0.0,2.0,6.0,2.0,Patronato,18.0,8.0,5.0,50.7,14.0,0.0,0.0,1.0,3.0,5.0,610197,2021-08-09 18:00:00,2021
Central Córdoba (Santiago del Estero),8.0,4.0,4.0,51.5,13.0,3.0,0.0,3.0,3.0,3.0,Estudiantes de La Plata,16.0,6.0,4.0,48.5,18.0,3.0,0.0,1.0,3.0,3.0,610195,2021-08-09 20:15:00,2021
Colón (Santa Fe),19.0,4.0,8.0,62.2,14.0,1.0,1.0,3.0,4.0,5.0,Gimnasia La Plata,8.0,4.0,6.0,37.8,12.0,1.0,2.0,1.0,3.0,1.0,610184,2021-08-13 19:00:00,2021
Huracán,13.0,4.0,6.0,54.6,16.0,1.0,0.0,1.0,1.0,3.0,Unión (Santa Fe),7.0,1.0,2.0,45.4,16.0,2.0,1.0,2.0,4.0,0.0,610189,2021-08-13 21:15:00,2021
Atlético Tucumán,20.0,6.0,10.0,59.3,14.0,4.0,0.0,4.0,1.0,4.0,Aldosivi,6.0,3.0,2.0,40.7,15.0,2.0,0.0,2.0,4.0,1.0,610178,2021-08-14 13:30:00,2021
Argentinos Juniors,8.0,5.0,4.0,57.6,9.0,1.0,1.0,1.0,2.0,1.0,Banfield,16.0,2.0,4.0,42.4,14.0,1.0,1.0,1.0,3.0,2.0,610180,2021-08-14 15:45:00,2021
River Plate,11.0,5.0,7.0,46.6,16.0,4.0,0.0,5.0,4.0,3.0,Vélez Sarsfield,11.0,4.0,3.0,53.4,9.0,1.0,0.0,3.0,3.0,2.0,610190,2021-08-14 18:00:00,2021
Rosario Central,10.0,3.0,2.0,40.6,16.0,3.0,0.0,0.0,2.0,1.0,Independiente,11.0,4.0,4.0,59.4,12.0,2.0,0.0,3.0,2.0,0.0,610182,2021-08-14 20:15:00,2021
Patronato,5.0,5.0,1.0,40.0,13.0,2.0,0.0,1.0,2.0,0.0,Central Córdoba (Santiago del Estero),11.0,2.0,4.0,60.0,15.0,4.0,0.0,1.0,4.0,4.0,610183,2021-08-15 13:30:00,2021
Platense,15.0,6.0,6.0,42.0,21.0,4.0,0.0,3.0,3.0,3.0,Arsenal Sarandi,13.0,4.0,3.0,58.0,15.0,0.0,0.0,0.0,4.0,4.0,610179,2021-08-15 15:45:00,2021
Estudiantes de La Plata,9.0,3.0,5.0,35.6,22.0,3.0,0.0,1.0,1.0,2.0,Boca Juniors,10.0,1.0,5.0,64.4,17.0,1.0,0.0,2.0,2.0,2.0,610181,2021-08-15 18:00:00,2021
Racing Club,9.0,4.0,9.0,48.9,22.0,2.0,0.0,0.0,2.0,3.0,Newell's Old Boys,9.0,2.0,5.0,51.1,22.0,3.0,0.0,4.0,3.0,1.0,610186,2021-08-15 20:15:00,2021
Talleres (Córdoba),18.0,7.0,7.0,55.2,13.0,2.0,0.0,4.0,3.0,1.0,San Lorenzo,9.0,3.0,5.0,44.8,13.0,2.0,2.0,2.0,5.0,1.0,610187,2021-08-16 18:00:00,2021
Defensa y Justicia,13.0,4.0,5.0,54.1,14.0,2.0,0.0,1.0,2.0,2.0,Sarmiento (Junín),12.0,4.0,5.0,45.9,12.0,3.0,0.0,1.0,0.0,3.0,610188,2021-08-16 20:15:00,2021
Lanús,14.0,6.0,6.0,47.7,14.0,1.0,0.0,1.0,2.0,2.0,Godoy Cruz Antonio Tomba,16.0,3.0,7.0,52.3,16.0,1.0,0.0,2.0,2.0,4.0,610185,2021-08-16 21:45:00,2021
Aldosivi,12.0,7.0,4.0,38.4,17.0,2.0,0.0,3.0,3.0,0.0,Colón (Santa Fe),11.0,3.0,7.0,61.6,15.0,2.0,0.0,1.0,4.0,2.0,610167,2021-08-20 16:45:00,2021
Banfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estudiantes de La Plata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610169,2021-08-20 19:00:00,2021
Sarmiento (Junín),12.0,4.0,5.0,46.2,14.0,2.0,0.0,1.0,5.0,2.0,Atlético Tucumán,14.0,6.0,5.0,53.8,13.0,3.0,0.0,2.0,1.0,2.0,610166,2021-08-20 19:00:00,2021
Independiente,11.0,4.0,6.0,52.5,15.0,2.0,1.0,2.0,3.0,2.0,Defensa y Justicia,9.0,3.0,6.0,47.5,19.0,6.0,0.0,1.0,4.0,2.0,610168,2021-08-20 21:15:00,2021
Central Córdoba (Santiago del Estero),15.0,5.0,4.0,54.3,12.0,2.0,0.0,1.0,2.0,1.0,Platense,10.0,3.0,6.0,45.7,16.0,3.0,0.0,1.0,3.0,2.0,610173,2021-08-21 13:30:00,2021
