team,elo,squad_value,ea_overall,goles_anotados_avg,goles_recibidos_avg,tiros_avg,tiros_arco_avg,corners_avg,posesion_avg,faltas_avg
Poland,1764.6,221725000.0,80.0,1.86,1.5,12.6,4.6,6.2,44.18,10.2
Republic of Ireland,1761.0,136399999.0,75.45,2.0,1.5,13.0,5.57,5.43,42.21,11.25
Hungary,1755.9,183949999.0,78.0,1.75,2.2,13.75,4.62,5.38,47.19,10.25
Costa Rica,1752.3,20450000.0,68.09,2.5,2.5,9.0,4.0,4.0,31.4,12.0
Iraq,1749.7,19575000.0,66.64,1.17,1.75,3.0,2.0,3.0,33.7,10.0
Guernsey,1745.6,122805947.0,77.91,1.5,1.0,11.5,4.2,4.8,50.0,12.9
Wales,1744.7,117750000.0,75.64,2.17,2.0,16.33,6.17,7.67,66.75,8.83
Tunisia,1737.3,73475000.0,72.91,2.5,2.0,13.0,4.17,4.8,51.08,14.67
Slovenia,1737.1,153824999.0,76.09,1.5,1.5,9.33,2.6,3.83,44.6,11.5
German DR,1730.3,115151810.0,77.61,1.62,1.5,11.5,4.2,4.8,50.0,12.9
Bolivia,1729.5,19160000.0,68.0,1.67,2.33,10.0,3.5,3.5,50.5,12.0
Cameroon,1723.4,236200000.0,77.45,2.0,1.0,12.0,3.5,4.5,50.9,16.5
Honduras,1721.6,17225000.0,67.64,2.33,2.0,4.0,4.2,1.0,28.3,12.0
New Zealand,1718.8,54725000.0,71.09,2.0,1.75,8.67,3.33,3.33,47.33,11.0
Slovakia,1718.0,198199999.0,78.27,1.67,2.75,9.33,2.67,4.0,46.78,12.33
Haiti,1716.6,19435000.0,69.27,2.33,2.25,10.5,1.5,5.0,51.2,15.5
Georgia,1711.8,230624999.0,76.18,1.5,2.5,9.0,2.25,4.67,47.08,10.5
Israel,1709.3,75850000.0,72.82,3.0,3.2,12.67,5.17,4.17,51.6,10.5
Isle of Man,1709.1,104555092.0,77.18,3.62,1.25,11.5,4.2,4.8,50.0,12.9
