fecha,competicion,local,visita,elo_diff,squad_value_diff,ea_overall_diff,h2h_diff,goles_anotados_diff,goles_recibidos_diff,tiros_diff,tiros_arco_diff,corners_diff,posesion_diff,faltas_diff,resultado
2019-06-08,Amistosos 2018-19,Botswana,Zambia,-131.0,-0.558,6.61,-1.067,0.54,-0.9,0.0,0.0,0.0,0.0,0.0,0
2019-06-08,Amistosos 2018-19,Nigeria,Zimbabwe,186.3,1.665,5.91,1.75,-1.0,0.0,1.5,-1.2,-0.13,-4.0,2.1,1
2019-06-08,Amistosos 2018-19,Thailand,India,49.8,-0.785,0.31,0.348,-0.92,0.07,3.75,0.25,-1.8,-57.8,-4.9,0
2019-06-08,Amistosos 2018-19,Argentina,Nicaragua,552.1,6.73,22.18,4.0,1.04,-0.12,0.0,0.0,0.0,0.0,0.0,2
2019-06-08,Amistosos 2018-19,Vietnam,Curaçao,21.4,0.0,0.43,0.0,0.25,-0.86,0.0,0.0,0.0,0.0,0.0,1
2019-06-09,Amistosos 2018-19,Peru,Colombia,-110.7,-1.483,-6.36,-0.0,-0.64,0.6,-2.5,0.2,2.8,2.4,-10.1,0
2019-06-09,Nations League 2018,Switzerland,England,-39.1,-0.854,-4.0,-1.444,1.17,-0.43,5.67,1.33,0.47,8.7,0.0,1
2019-06-09,Nations League 2018,Portugal,Netherlands,-41.0,0.25,1.82,0.385,-0.02,0.0,-2.7,-3.2,0.83,-0.94,-1.03,2
2019-06-09,Amistosos 2018-19,Paraguay,Guatemala,182.4,4.66,13.18,1.3,-1.71,-1.72,0.0,0.0,0.0,0.0,0.0,2
2019-06-09,Amistosos 2018-19,Cameroon,Zambia,135.1,2.922,12.93,0.071,0.1,-1.04,0.0,0.0,0.0,0.0,0.0,2
2019-06-09,Amistosos 2018-19,United States,Venezuela,31.4,0.207,1.27,1.0,0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0
2019-06-09,Amistosos 2018-19,Japan,El Salvador,199.4,3.769,11.44,-0.0,1.38,-0.33,0.0,0.0,0.0,0.0,0.0,2
2019-06-09,Amistosos 2018-19,Brazil,Honduras,482.4,3.114,16.18,2.286,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,2
2019-06-09,Amistosos 2018-19,Mexico,Ecuador,64.9,1.098,3.82,0.762,1.25,-0.25,0.0,0.0,0.0,0.0,0.0,2
2019-06-10,Amistosos 2018-19,Vanuatu,Fiji,15.9,2.282,2.18,-1.2,0.62,-0.08,0.0,0.0,0.0,0.0,0.0,1
2019-06-10,Amistosos 2018-19,Iraq,Libya,127.5,0.178,-2.93,1.091,1.37,1.57,0.0,0.0,0.0,0.0,0.0,1
2019-06-11,Amistosos 2018-19,Kyrgyz Republic,Palestine,-63.8,2.354,7.27,0.0,-0.15,0.67,0.0,0.0,0.0,0.0,0.0,1
2019-06-11,Amistosos 2018-19,Guinea,Benin,45.6,1.353,4.91,3.0,0.32,1.25,0.0,0.0,0.0,0.0,0.0,0
2019-06-11,Amistosos 2018-19,Croatia,Tunisia,197.8,1.8,9.82,0.0,0.03,0.57,1.0,-0.33,1.67,-7.07,-2.0,0
2019-06-11,Amistosos 2018-19,Uzbekistan,Syria,84.6,-0.77,2.33,-0.25,1.05,0.8,-1.0,-1.2,-0.3,8.15,-1.4,2
2019-06-11,Amistosos 2018-19,Singapore,Myanmar,30.9,0.0,0.62,-0.6,0.0,-0.9,0.0,0.0,0.0,0.0,0.0,0
2019-06-11,Amistosos 2018-19,China,Tajikistan,279.1,2.233,1.68,1.75,-0.27,-0.68,-1.5,1.8,0.7,-0.75,-4.4,2
2019-06-11,Amistosos 2018-19,Jordan,Indonesia,260.4,-0.057,2.0,2.333,-0.17,-0.92,0.0,0.0,0.0,0.0,0.0,2
2019-06-11,Amistosos 2018-19,South Korea,Iran,-19.2,1.039,3.55,-0.0,0.11,0.25,3.5,2.2,3.8,17.0,-3.1,1
2019-06-11,Amistosos 2018-19,Guyana,Haiti,-224.7,-2.599,-2.06,-0.4,-1.05,-0.12,0.0,0.0,0.0,0.0,0.0,0
2019-06-11,Amistosos 2018-19,Hong Kong,Chinese Taipei,194.2,-2.919,-6.01,0.0,-0.21,-1.52,0.0,0.0,0.0,0.0,0.0,0
2019-06-11,Amistosos 2018-19,Algeria,Burundi,191.8,6.171,22.05,1.0,0.75,0.96,0.0,0.0,0.0,0.0,0.0,1
2019-06-12,Amistosos 2018-19,Morocco,Gambia,362.3,2.134,10.27,1.875,1.5,0.04,0.17,-0.87,-0.47,-0.67,7.77,0
2019-06-13,Amistosos 2018-19,Egypt,Tanzania,221.1,3.037,8.64,3.5,0.12,0.26,-1.83,-2.53,-1.8,-5.0,-0.23,2
2019-06-14,Amistosos 2018-19,Cameroon,Mali,69.1,0.51,3.73,0.889,1.04,0.0,0.0,0.0,0.0,0.0,0.0,1
2019-06-14,Amistosos 2018-19,Mauritania,Madagascar,34.4,-1.126,-1.94,-4.0,-1.0,-0.19,0.0,0.0,0.0,0.0,0.0,2
2019-06-15,Amistosos 2018-19,Ivory Coast,Uganda,146.3,4.559,17.92,1.333,-0.25,0.23,0.0,0.0,0.0,0.0,0.0,0
